id,type,title,creator,year,lent_to
dd01e785-f067-46d3-9ede-c38bebbe2d4b,2,Luxurious Metal Soap,Evelyn Towne,1977,00000000-0000-0000-0000-000000000000
742b587e-9f49-4a23-91b5-6fad5554c5f9,0,Fantastic Steel Computer,Clinton Waters,2018,00000000-0000-0000-0000-000000000000
16f42119-6d71-45eb-b370-b494d7a43df3,0,Modern Steel Salad,Colleen Jerde,1934,e369c068-0f56-4764-b497-6d9400b8d8de
3574b5b3-6f84-4824-915f-32beb7456e9c,1,Elegant Metal Bike,Rosemarie Zieme,1946,00000000-0000-0000-0000-000000000000
7295650c-f254-4218-a1cd-8f735c618aa9,2,Tasty Fresh Pizza,Josh Dooley,1971,b8dc4b1a-a4fd-4c4b-bec8-12df0fdbf543
ec5e8cd0-ec24-4355-8571-af6b55b23c87,1,Generic Fresh Pizza,Sheila Koch,1908,319118d8-384c-4783-9062-e8ecbfb21149
644c6211-3a07-4286-b051-f6b5c8addae2,2,Refined Steel Table,Mrs. Elena Hessel,1995,00000000-0000-0000-0000-000000000000
c02a50e3-7245-4b8d-8ec0-2171371a091e,0,Gorgeous Bronze Chicken,Vickie Roberts Jr.,1921,00000000-0000-0000-0000-000000000000
66c47e5b-e9d9-470b-b2df-c4556710e8f5,2,Oriental Frozen Towels,Lela Kuhn,2023,00000000-0000-0000-0000-000000000000
229b526b-a528-4f18-ad40-d363addf3508,0,Rustic Cotton Pants,Connie Rice,2022,00000000-0000-0000-0000-000000000000
b9f5d9b1-9a92-434e-bd70-3ef36f91f035,1,Sleek Soft Shirt,Ted Schumm,2001,b22b518a-10ee-4959-9cfa-1ab09da7fafe
5d3db8dc-6f2d-4e88-baac-8fa8ba8bfe30,0,Oriental Cotton Salad,Vickie Durgan IV,1930,c3ffaf2b-6626-47b4-bef6-ee848b0ad2e8
6d001e63-15bb-41d5-bbce-25c61313b9d5,2,Intelligent Soft Soap,Miss Adrienne Stokes,2005,00000000-0000-0000-0000-000000000000
23669e4c-d80a-407a-b6dd-28f09b7b4585,2,Unbranded Cotton Chicken,Patricia Harber-Roberts,1915,51d9df8d-77cb-49a4-aad1-1c9efb7b0f74
3caf5a89-6c14-4f9d-9b3d-f389628c616a,1,Fantastic Wooden Chair,Clinton Champlin,1937,00000000-0000-0000-0000-000000000000
cf1d7025-2da8-4802-8cf6-45c7b4eee7f7,0,Rustic Soft Chicken,Ramiro Schimmel,2008,00000000-0000-0000-0000-000000000000
ace0f30e-8f20-4d2f-844d-4d0fc0be8d19,0,Rustic Wooden Shoes,Angela Weber,2009,b8dc4b1a-a4fd-4c4b-bec8-12df0fdbf543
b81f0892-d952-4e1b-8881-dd76fa48b5cb,2,Recycled Frozen Towels,Donnie Morissette,2009,0b3c5293-b1ea-4a21-b66a-62d9e21335eb
37c4c503-1d9d-4c75-9035-8372ba6d5e5f,2,Small Metal Soap,Megan Nolan-Hayes,1903,b8dc4b1a-a4fd-4c4b-bec8-12df0fdbf543
48adbfd9-56d6-48e7-9782-95c161dcb4a7,2,Bespoke Cotton Soap,Anita Mohr,1901,00000000-0000-0000-0000-000000000000
22af2ed4-4863-461d-8594-db767f0725be,0,Handcrafted Bronze Hat,Lora Bayer-Nikolaus,1984,894b8c6c-7d60-473b-996a-acfd2b5281ba
ca2313e3-b844-4253-8c09-3498fe226131,2,Incredible Metal Chicken,Carolyn Christiansen,1964,00000000-0000-0000-0000-000000000000
f81de4d3-e431-4985-8181-e99fbe65d8da,1,Ergonomic Wooden Pants,Samantha Mayer-Nader II,1935,00000000-0000-0000-0000-000000000000
5a9fbc7e-96d2-4a82-b0c3-4a53cdb35bf3,2,Fantastic Metal Soap,Rhonda Hirthe,1955,00000000-0000-0000-0000-000000000000
982b48e5-37cf-4cd5-936b-9b2dfe63d793,2,Oriental Cotton Towels,Simon Torp,1943,319118d8-384c-4783-9062-e8ecbfb21149
6dd3b796-e41d-4adb-a427-06e6f7bb67f7,1,Modern Granite Table,Sylvia Boyer,1920,00000000-0000-0000-0000-000000000000
5bec1fbd-4d5d-4024-8ed2-57f4115aaf6e,2,Small Plastic Shoes,Dr. Delores Yost,1974,00000000-0000-0000-0000-000000000000
185c3a85-46a5-49d3-8135-f530f26b85e8,2,Incredible Concrete Soap,Kelvin Wolf,1916,0b3c5293-b1ea-4a21-b66a-62d9e21335eb
8f24f23d-61d8-4a4e-a56e-e9b3ee52d3b8,1,Electronic Granite Keyboard,Laurence Douglas-Koelpin IV,1937,00000000-0000-0000-0000-000000000000
1f20e3bb-fc5e-4b06-bc44-98164dcf7137,2,Modern Granite Fish,Jon Johnston,2009,00000000-0000-0000-0000-000000000000
c71b3e80-2046-4a08-9345-868bb608f0e1,2,Rustic Metal Bike,Miss Rose Johns,1913,0b3c5293-b1ea-4a21-b66a-62d9e21335eb
380306b6-fa4d-4e80-a48e-b2b7aeebcf6f,2,Practical Wooden Pizza,Jaime D'Amore,1927,921c9afd-ad35-43eb-8f38-74d63e8f1a7d
e6e69dc4-38b5-4448-babd-5797aa46d3d2,0,Unbranded Metal Soap,Mr. Herman Bernier,1923,5a0794d9-522d-4615-a341-795bba4093a0
109e8c24-895e-4f01-a767-6163ee8b6a74,1,Refined Rubber Soap,Kendra Weissnat,1945,00000000-0000-0000-0000-000000000000
1c0acbae-737e-4b72-b544-e1bab1fa708d,2,Handcrafted Bronze Soap,Juan Schaefer,1952,00000000-0000-0000-0000-000000000000
5d80941d-e0ac-4a60-8351-eb21d5644406,0,Awesome Plastic Bike,Stewart Brakus V,1963,00000000-0000-0000-0000-000000000000
30d4dea4-21c2-465b-981f-1fcb95162910,2,Incredible Metal Soap,Sean Haag,1910,00000000-0000-0000-0000-000000000000
4f3cbc84-1327-4d3c-aae0-cdec34d5ca75,0,Awesome Concrete Shoes,Casey Schaefer,1984,00000000-0000-0000-0000-000000000000
d71cdd32-ac24-408c-b33b-a22e9c1f213b,2,Sleek Wooden Soap,Tracy Bashirian,1920,00000000-0000-0000-0000-000000000000
dc47d7c7-4344-4bc2-9683-7452116990a7,2,Modern Soft Chair,Shawna Wilkinson,2017,00000000-0000-0000-0000-000000000000
e256b941-4700-45fe-b39b-e3cbbcb2a7f2,2,Tasty Fresh Chicken,Marcia Monahan,1936,00000000-0000-0000-0000-000000000000
e1c8b683-3af3-4169-982a-86adbd7c0643,1,Modern Wooden Chips,Dr. Theodore Aufderhar-Hackett,2007,00000000-0000-0000-0000-000000000000
d0c1e795-4f61-4290-b3ad-88ff4d8f1b1d,2,Small Cotton Table,Emily Beatty,1923,00000000-0000-0000-0000-000000000000
0fca8d4d-98d3-4d12-a9ca-99030c084a31,2,Ergonomic Rubber Gloves,Lynn Jenkins I,1935,1f88bbab-cc0a-421e-b706-709a6114554a
6516b281-34ce-4cd4-b362-c2f16d511b3b,2,Tasty Cotton Bacon,Roland Huel,2005,00000000-0000-0000-0000-000000000000
8a3ccf82-4bc9-40e7-9aec-18da5a0571fb,2,Oriental Metal Sausages,Alfonso Wuckert,1916,e369c068-0f56-4764-b497-6d9400b8d8de
11728583-1fde-45af-95ca-28c9acf9ae5a,0,Elegant Concrete Fish,Dwayne Witting,1932,cd0d98f1-64fe-42b1-a618-aa6601901261
da101195-ea06-45b0-adf2-9fc35f8fe043,2,Sleek Soft Pants,Archie Hand,1966,00000000-0000-0000-0000-000000000000
25b875a7-fa3d-4d08-bb31-03a3f644d237,1,Practical Cotton Pants,Manuel Kunze,1944,00000000-0000-0000-0000-000000000000
f7a01bc4-d1af-4c52-b07b-12668645b765,0,Small Concrete Tuna,Mrs. Leigh Tromp,1910,00000000-0000-0000-0000-000000000000
d88b7633-34fc-400e-acb4-824f115ae3b8,0,Elegant Concrete Pizza,Jenny Von,1924,ad8c2b14-15bb-4169-b679-25dc8c917989
b5e1acbb-8b64-4a04-bee7-8a774a0436d6,1,Electronic Rubber Mouse,Amanda Heidenreich,2003,5f9b331c-9edc-43f4-8a0b-e7c6091d8d68
0aaf17e9-fa45-493b-bc8f-6645a5f1081e,0,Rustic Concrete Shoes,Gene Hoppe,1998,896c86a4-90d8-468c-8ec8-b5eccf5a85bf
a09447b0-52ed-4cf3-a007-c4fe5d312372,2,Handcrafted Bronze Chicken,Fannie Frami I,1957,00000000-0000-0000-0000-000000000000
b52ac369-a902-48cf-9545-1601e45d9af7,2,Sleek Concrete Car,Max Bahringer,2010,00000000-0000-0000-0000-000000000000
e6bfc835-0b57-4e0c-a79f-f6f378cb98e6,0,Oriental Granite Hat,Tammy Abbott,1910,00000000-0000-0000-0000-000000000000
07b21134-642f-4273-ab03-3ce02e3829e9,2,Recycled Soft Bacon,Allen Brown,2010,00000000-0000-0000-0000-000000000000
2259e006-0267-423d-a565-9244ef03a250,1,Electronic Rubber Bike,Dr. Jeffery Weber,1921,00000000-0000-0000-0000-000000000000
b4465a73-cea2-4d66-b958-ef51debe61ff,2,Recycled Wooden Hat,Ramiro Beatty,1965,2256580d-f167-47c6-9364-70f9aecd39c2
d35b6e71-6ff4-4383-a9b8-f02b97993d6d,0,Fantastic Soft Pizza,Denise Tromp,1923,00000000-0000-0000-0000-000000000000
554964e8-bb5a-4d87-b9d0-effa475e2fea,1,Refined Bronze Tuna,Frederick Rohan,1969,00000000-0000-0000-0000-000000000000
7c1cf5ae-0246-434c-b11b-8b82fc84fcd4,2,Luxurious Metal Bike,Antonia Dietrich,1969,00000000-0000-0000-0000-000000000000
5692b124-665f-4f46-af9b-9f30bed054fa,2,Electronic Wooden Computer,Carroll Mitchell,1926,8d1ba544-54d1-4e86-833f-68decdda6f67
a17a459c-5c79-4714-bddd-618fe03f173c,2,Practical Steel Fish,Darnell McClure-Dicki,1911,cd0d98f1-64fe-42b1-a618-aa6601901261
7458f59f-a7b7-4d7b-91b3-6bf28d8cd474,0,Elegant Steel Soap,Rodolfo Gerlach,1909,e369c068-0f56-4764-b497-6d9400b8d8de
7547bf45-a09a-4ae1-bf35-f6bb6a4f34b9,2,Recycled Bronze Bike,Miss Erin Green MD,2002,00000000-0000-0000-0000-000000000000
38c4f0eb-7460-402f-8c51-49fce85f1b1a,2,Modern Metal Cheese,Terri Adams,1959,00000000-0000-0000-0000-000000000000
d5cfbbb7-8c13-4b26-815e-0fbe6a185279,0,Modern Rubber Pants,Miss Veronica Reilly-Turcotte,1951,921c9afd-ad35-43eb-8f38-74d63e8f1a7d
596f0595-8b84-46dd-bede-cb97d8b59750,1,Modern Rubber Towels,Brent Gislason,1916,00000000-0000-0000-0000-000000000000
f0613c47-5883-4611-958e-f412b117577a,0,Practical Plastic Fish,Lance Parker,1933,00000000-0000-0000-0000-000000000000
f5db89e8-98c2-4234-a67b-8edff1d83947,0,Licensed Plastic Sausages,Jay Franecki,2018,7792d5de-2454-4550-a255-aa691b7db374
7c5c99f0-5b42-499a-bf62-2dcaa48b8b0c,1,Electronic Bronze Ball,Mr. Virgil Bruen,2005,00000000-0000-0000-0000-000000000000
534ac11f-1bf4-4188-aa48-f5fa12febf82,1,Bespoke Granite Table,Colin Ferry-Boehm,1949,00000000-0000-0000-0000-000000000000
350d0138-df16-4e83-8da6-32e3dc9a583e,0,Small Granite Chicken,Pat Bogan III,1946,00000000-0000-0000-0000-000000000000
31e9bf40-801c-4e83-b710-e11ea43571ca,2,Elegant Wooden Pants,Angelica Osinski,1975,f7659565-ef58-4292-9564-a90371a6a0a3
e6b60529-2b20-4bcf-92a0-8a293d267cb8,0,Refined Rubber Computer,Victor Bogan,1973,00000000-0000-0000-0000-000000000000
26d8b9d3-b6d1-45a5-909e-7d3aba9607a1,0,Incredible Metal Shirt,Eula Dicki,1939,cd0d98f1-64fe-42b1-a618-aa6601901261
9856db0b-9288-42a6-a4cc-783b5aacca2a,2,Sleek Concrete Pants,Sidney Lockman,2014,ad8c2b14-15bb-4169-b679-25dc8c917989
5a099eb8-9549-4494-95eb-109176ee141b,0,Incredible Frozen Mouse,Orville Powlowski,1901,00000000-0000-0000-0000-000000000000
f2356a9c-70a4-424e-a886-47d7563ee597,0,Unbranded Cotton Shirt,Abraham Kutch Sr.,2004,e8667627-2931-4f3b-be5f-41a25c2dc4db
acb18aec-e680-408f-9cd5-119e2794749d,0,Elegant Concrete Towels,Miriam Nikolaus,1905,00000000-0000-0000-0000-000000000000
75ce3be1-9d1d-4213-84e1-3443370910e7,1,Tasty Metal Sausages,Billy Rosenbaum-Beahan,1918,00000000-0000-0000-0000-000000000000
1b8392b8-f3da-4547-b288-df652183a756,0,Practical Soft Chips,Harry Hilll,1977,00000000-0000-0000-0000-000000000000
8d5ed194-922e-4c69-b6a5-9105deb1f994,2,Incredible Rubber Pizza,Sherman Friesen IV,1939,4791312d-9b95-4c03-9fa3-7d1357ec890d
728d532a-88a4-4095-b517-10eb422d11fd,0,Ergonomic Rubber Gloves,Milton Leuschke,1928,5a0794d9-522d-4615-a341-795bba4093a0
d7a5dddf-7432-4546-832b-20cf1d91b501,2,Handcrafted Fresh Towels,Dr. Frankie Thiel,1998,da35e63d-9b39-47d0-a659-004562bda224
a41d9d73-bbb0-4e89-88ff-e57a1a23647e,1,Licensed Granite Gloves,Dr. Sara Wunsch,1975,cd0d98f1-64fe-42b1-a618-aa6601901261
b227136b-a3ce-4249-8ef9-fef4d6669eed,0,Licensed Soft Chicken,Margaret Wintheiser V,1960,00000000-0000-0000-0000-000000000000
6158194b-c3c4-40a9-8f1a-7cee9d2f87ff,1,Incredible Granite Table,Percy Vandervort,1980,8306f025-1493-423d-bbf9-fc97689fee61
4b55111a-9927-49ac-8064-df36eefeccd5,0,Practical Wooden Mouse,Cedric Green-Kovacek,1979,00000000-0000-0000-0000-000000000000
a7b6b455-cfa3-49f5-abd4-e4646d241e5b,2,Elegant Granite Tuna,Colleen Grant,1923,00000000-0000-0000-0000-000000000000
fdc96179-1b5d-4154-8273-18a55606576b,1,Gorgeous Fresh Shirt,Erick McGlynn,1932,00000000-0000-0000-0000-000000000000
d788d5df-5dd5-4c2e-a2b5-4bbc87a8859c,1,Luxurious Bronze Bacon,Larry Price,2001,00000000-0000-0000-0000-000000000000
196b70e7-cdfa-4ad2-9a51-401c49dbd3bd,2,Tasty Plastic Chicken,Sheila Dach,2006,00000000-0000-0000-0000-000000000000
6af5e9ef-e5bf-4c66-9f8e-1631d93add16,1,Tasty Metal Sausages,Sheila Wolf,2015,00000000-0000-0000-0000-000000000000
bd35fc0d-ddde-4388-834a-1e7707d7c6c6,0,Generic Fresh Bike,Alejandro Medhurst,1913,00000000-0000-0000-0000-000000000000
82671f31-956d-4826-bae0-4dd902b34422,2,Rustic Soft Towels,Velma Walter,1992,00000000-0000-0000-0000-000000000000
2a55ec7d-8b65-4252-a176-0ca20d154f5e,0,Luxurious Rubber Cheese,Morris Rempel,1980,7bacc4cd-95b0-4b35-89e1-44b5c2c60ae0
70c90252-ab11-45d0-9126-6d28f3fa2204,0,Awesome Wooden Pants,Rose Douglas,2000,00000000-0000-0000-0000-000000000000
ed437be1-487c-4877-bd2e-28413fb55718,1,Tasty Concrete Pizza,Kathy Spencer,2000,00000000-0000-0000-0000-000000000000
90ba10b8-32b5-4391-b7ff-b24bb3bc89e4,2,Handcrafted Bronze Chair,Dr. Dexter Stiedemann Jr.,2006,00000000-0000-0000-0000-000000000000
d848c2c6-e342-4d3c-a208-52ea66d0ecc3,0,Rustic Metal Shirt,Angel Trantow I,1902,00000000-0000-0000-0000-000000000000
1dec8297-bf5c-4eb9-9d4e-444c5519173d,0,Generic Rubber Bacon,Tyler Feeney DVM,1993,27b9c0df-b24a-4b3e-b2cf-0ab6f42bda02
5e772569-64eb-41cb-9cd9-f4795fd980c6,1,Handmade Concrete Chair,Mary Swaniawski,2006,00000000-0000-0000-0000-000000000000
eb0828d0-6abc-4e20-9d7b-f8c728089fb0,0,Ergonomic Granite Gloves,Dr. Jeremiah King,2010,51d9df8d-77cb-49a4-aad1-1c9efb7b0f74
b20c8b07-aaf2-41d5-89d3-24d07400b5ba,2,Modern Soft Car,Ron Bednar-Pagac,1921,21b2157e-fc5a-45ae-b47f-62e2304beb40
f8697dea-e1c3-42b5-ae1c-20ea16796e30,2,Unbranded Bronze Tuna,Preston Muller,1928,00000000-0000-0000-0000-000000000000
a44c627b-3080-47ce-9c1b-1788849a282a,1,Refined Cotton Shoes,Courtney Bahringer,1902,00000000-0000-0000-0000-000000000000
11464379-a87f-47ad-abcd-a3f0c2a805ac,2,Recycled Soft Sausages,Jeffrey Hessel,2019,9ad7b0f6-8530-4542-9c50-7fd60d5ed559
226c8646-e44d-4e49-a661-d565e1cec8d3,1,Gorgeous Cotton Car,Grace Koepp-Abernathy,1907,7bacc4cd-95b0-4b35-89e1-44b5c2c60ae0
14a6ac5d-0ece-4783-be70-80a21bc9fe1b,0,Ergonomic Steel Sausages,Ashley Bosco,1911,e8667627-2931-4f3b-be5f-41a25c2dc4db
a8232a8d-1300-410d-8bb7-0ae2c9b252f9,0,Intelligent Bronze Keyboard,Luis Senger,1987,00000000-0000-0000-0000-000000000000
dc1231db-99a9-474f-83ec-e6c2eb61ae12,2,Awesome Cotton Bike,Clarence Pacocha,2008,00000000-0000-0000-0000-000000000000
5314e1cb-9b56-4787-b5f8-211e68511b57,2,Intelligent Cotton Table,Nora Weimann,1933,1be46143-bf02-423b-ab0b-053a8019f080
da78e5fe-b006-4d27-831f-5af4755f4373,2,Intelligent Metal Tuna,Terry Nader,1911,00000000-0000-0000-0000-000000000000
d7015df0-4ba2-4a89-a8ac-ad7e1fa5e611,1,Handmade Rubber Fish,Rosie Koss,1919,8306f025-1493-423d-bbf9-fc97689fee61
886e2a44-638f-4835-bb1a-d56abe8f9bb7,0,Sleek Fresh Ball,Oliver Funk,1998,00000000-0000-0000-0000-000000000000
4ae402d6-0d0a-44a9-93fa-0754b15d68f2,1,Luxurious Bronze Cheese,Fredrick Schuppe,2004,577e8dc7-e5e2-45af-b67a-a71b3b48c243
73a85478-9098-4f99-8f1d-f2003bbb8be0,1,Fantastic Bronze Soap,Abraham Jacobs,1933,00000000-0000-0000-0000-000000000000
cfec0fa7-71ba-4cb1-8f6d-a3e50b5ccff1,2,Licensed Wooden Gloves,Stephanie Walsh MD,1914,00000000-0000-0000-0000-000000000000
537d5fec-a570-4c01-be30-72021c9b5a6f,2,Luxurious Granite Gloves,Dr. Ian Streich,1937,0c95713e-9b86-4643-986d-fd1daaff1bdc
aa8022ca-87ae-4948-9b61-0ef208e27d4c,0,Recycled Cotton Pants,Leo Fadel,1908,00000000-0000-0000-0000-000000000000
1605b085-aa37-4b31-8803-731b78ff6605,0,Unbranded Concrete Table,Nathaniel Grimes,1914,00000000-0000-0000-0000-000000000000
0218ba42-e9a0-4fa2-b03b-b9627aa44518,0,Tasty Bronze Ball,Mr. Fred Tremblay,1907,00000000-0000-0000-0000-000000000000
b8fb0642-0ce4-4ce6-b7c1-ded0c9dff6e2,0,Practical Granite Hat,Megan Sawayn,2003,00000000-0000-0000-0000-000000000000
777f624c-644f-474d-9ce7-2468e021af76,2,Bespoke Rubber Gloves,Alex Braun V,1922,00000000-0000-0000-0000-000000000000
57774016-04a7-4a95-8892-7038cf676d49,1,Gorgeous Granite Keyboard,Kari Luettgen I,1982,00000000-0000-0000-0000-000000000000
7cb9ed5b-4e6d-440e-bbdc-b1339843552d,0,Awesome Cotton Bike,Enrique Kuphal,1942,00000000-0000-0000-0000-000000000000
e634529b-c9eb-49d9-b92e-48ef81e0d10e,2,Modern Granite Pizza,Flora Jacobs,1906,00000000-0000-0000-0000-000000000000
5305ef3a-dae5-4802-a59e-ef112488407c,1,Gorgeous Frozen Pants,Lola Bergnaum,1926,00000000-0000-0000-0000-000000000000
4ecc9461-252d-4338-ae3e-4eaa8f2d2193,0,Gorgeous Cotton Shoes,Lee Daugherty V,1980,00000000-0000-0000-0000-000000000000
c495792f-0059-4a78-af7d-01485f70f8d1,2,Ergonomic Cotton Tuna,Rick Dare,1907,ddccb4d3-ef5c-4f9c-8e39-76acc15f4a39
ecdb804e-10b9-4150-af0e-656b2afe36e3,2,Ergonomic Bronze Chips,Dianna Grant,1940,6552e7da-9a44-4d57-ae7a-e6f3aefdd882
24edc669-3049-46bf-9834-2e1c68d68763,0,Gorgeous Steel Bike,Ronald Kertzmann,1948,00000000-0000-0000-0000-000000000000
8e583fc7-5e1b-4aae-b823-c56044d303f5,2,Luxurious Wooden Gloves,Orlando Keeling,1949,00000000-0000-0000-0000-000000000000
e0e686bf-65c8-44da-8cc7-859465c842d6,1,Sleek Rubber Pants,Carla Barrows,2011,6552e7da-9a44-4d57-ae7a-e6f3aefdd882
99d916f8-9ea9-4796-bbb9-2a86bcfe5b85,1,Sleek Soft Mouse,Faith Cartwright,1944,00000000-0000-0000-0000-000000000000
d48f9965-154e-40bf-bb04-a5861465929c,0,Elegant Metal Pants,Earl Ziemann-Stiedemann,1911,b53e918f-9e63-4cae-8d12-4ac98c3d7032
4d416f71-ff5f-419e-b83a-2235e4226a5d,0,Tasty Cotton Shirt,Troy Steuber,1990,00000000-0000-0000-0000-000000000000
0866c496-c55b-41f2-8d2b-aa9a559a2375,0,Fantastic Soft Pizza,Lloyd Tillman,2014,00000000-0000-0000-0000-000000000000
600c5eed-9025-4e44-927f-4ddda5842e61,1,Incredible Cotton Shoes,Spencer Lebsack-Beatty,1932,00000000-0000-0000-0000-000000000000
619e772d-6681-45af-bf0f-18e1003b5441,1,Practical Concrete Chicken,Ronald Becker,1976,86f50443-9a8e-484b-a87d-6f19efd4b01c
335dc281-e377-4529-b26b-8289f295ca40,0,Small Soft Chicken,Sheri Brakus,1982,00000000-0000-0000-0000-000000000000
b9053ee4-2ff7-4bae-abf2-5495c1b70887,0,Handcrafted Rubber Gloves,Dr. Lewis Dickinson,2012,00000000-0000-0000-0000-000000000000
4ef807a3-08e6-4f61-bb50-820093aae50c,2,Luxurious Wooden Keyboard,Max Barrows,1938,00000000-0000-0000-0000-000000000000
30606cdc-565b-4b99-8455-ffc1bdf278ed,2,Electronic Wooden Chicken,Javier Littel,1923,00000000-0000-0000-0000-000000000000
a3e784b3-2694-4569-8bad-a4aff172edef,1,Bespoke Rubber Table,Jennie Schimmel DDS,2022,00000000-0000-0000-0000-000000000000
666634da-308f-47d5-948a-bc626659b536,0,Bespoke Steel Chair,Roosevelt Blick,1971,00000000-0000-0000-0000-000000000000
dbddf40f-9c4d-49b4-868b-4117dece7b05,0,Practical Fresh Shirt,Karla Schmitt,1933,00000000-0000-0000-0000-000000000000
45d36d75-01b5-46c3-bcd4-8d76a4ccf68f,1,Tasty Fresh Salad,Joey Yost,1968,00000000-0000-0000-0000-000000000000
e3f8ddfc-3e46-4838-8645-c98e3ce2ed51,2,Unbranded Fresh Computer,Stephanie O'Kon,1960,b53e918f-9e63-4cae-8d12-4ac98c3d7032
a639b89b-84e0-431d-9b8b-8290610b962b,0,Practical Fresh Chair,Miss Roberta Kunze,2012,51d9df8d-77cb-49a4-aad1-1c9efb7b0f74
0eae2ab9-bf30-45fc-a09b-f824de6b6fea,2,Rustic Plastic Cheese,Andrea Ledner,1900,00000000-0000-0000-0000-000000000000
0f5b7579-9731-49ec-8dc8-e0661e88a0a9,0,Ergonomic Rubber Sausages,Tami Blanda,1958,00000000-0000-0000-0000-000000000000
47146ef3-ed31-4313-b017-aed373608f24,0,Intelligent Frozen Car,Alfonso Pouros,2023,00000000-0000-0000-0000-000000000000
40b79207-999e-4d45-8ba4-98769bbf132c,2,Oriental Rubber Computer,Alex Bednar III,1997,e8667627-2931-4f3b-be5f-41a25c2dc4db
aaed10f3-d5ad-481c-a00b-5348345a763b,2,Rustic Soft Keyboard,Ella Considine,1912,00000000-0000-0000-0000-000000000000
57621d23-507c-4cc7-bc89-8cced2dbed7d,2,Practical Steel Soap,Nelson Kassulke,1926,00000000-0000-0000-0000-000000000000
df36982d-dc5f-4a30-aad0-0d677230d48d,2,Refined Plastic Computer,Angelina Price IV,2022,ad8c2b14-15bb-4169-b679-25dc8c917989
c92d2000-9926-4672-aa6c-54c2c382b847,0,Unbranded Concrete Towels,Jake Bode,1918,00000000-0000-0000-0000-000000000000
5847cfa1-3fa4-498c-afac-0a49b07c9ba3,0,Fantastic Cotton Table,Tracy Reichel,1921,b8dc4b1a-a4fd-4c4b-bec8-12df0fdbf543
473ecbbc-04f1-45d5-83ac-db837208c934,0,Tasty Rubber Mouse,Tommy Goodwin,2022,00000000-0000-0000-0000-000000000000
e7ad1190-019d-43f8-863c-88101c779d55,0,Rustic Bronze Gloves,Belinda Murazik,2016,6552e7da-9a44-4d57-ae7a-e6f3aefdd882
58c6765d-fbc0-4846-91f8-53ecf3e8fb84,2,Electronic Steel Hat,Constance Macejkovic,2000,00000000-0000-0000-0000-000000000000
